code,rcn,title
ERC-PoC-2015,"664095","ERC Proof of Concept Grant"
MSCA-ITN-2014-ETN,"664545","Marie Skłodowska-Curie Innovative Training Networks (ITN-ETN)"
MSCA-IF-2014-EF,"664546","Marie Skłodowska-Curie Individual Fellowships (IF-EF)"
MSCA-RISE-2014,"664547","Marie Skłodowska-Curie Research and Innovation Staff Exchange (RISE)"
MSCA-COFUND-2014-DP,"664548","Marie Skłodowska-Curie Co-funding of regional, national and international programmes (COFUND-DP)"
MSCA-NIGHT-2014,"664549","European Researchers' Night (NIGHT)"
MSCA-NCP-2014,"664550","Trans-national cooperation among Marie Skłodowska-Curie National Contact Points (NCP)"
MSCA-ITN-2015,"664551","Marie Skłodowska-Curie Innovative Training Networks (ITN)"
MSCA-IF-2015-EF,"664552","Marie Skłodowska-Curie Individual Fellowships (IF-EF)"
MSCA-RISE-2015,"664553","Marie Skłodowska-Curie Research and Innovation Staff Exchange (RISE)"
MSCA-COFUND-2015-DP,"664554","Marie Skłodowska-Curie Co-funding of regional, national and international programmes (COFUND-DP)"
WASTE-1-2014,"664555","Moving towards a circular economy through industrial symbiosis"
WASTE-2-2014,"664556","A systems approach for the reduction, recycling and reuse of food waste"
WASTE-3-2014,"664557","Recycling of raw materials from products and buildings"
WASTE-4a-2014,"664558","An EU near-zero waste stakeholder platform"
WASTE-4d-2015,"664559","Raw materials partnerships"
WASTE-5-2014,"664560","Preparing and promoting innovation procurement for resource efficiency"
WASTE-6a-2015,"664561","Eco-innovative solutions"
WASTE-7-2015,"664562","Ensuring sustainable use of agricultural waste, co-products and by-products"
WATER-1a-2014,"664563","First application and market replication "
WATER-1b-2015,"664564","Demonstration/pilot activities "
WATER-2a-2014,"664565","Water cycle under future climate"
WATER-2b-2015,"664566","Integrated approaches to food security, low-carbon energy, sustainable water management and climate change mitigation: "
WATER-3-2014,"664567","Stepping up EU research and innovation cooperation in the water area"
WATER-3-2015,"664568","Stepping up EU research and innovation cooperation in the water area"
WATER-4a-2014,"664569","Dissemination and exploitation, ICT, knowledge, gaps, research needs, etc"
WATER-4b-2015,"664570","Water management solutions for agricultural sector, thematic networks"
WATER-5a-2014,"664571","Strategic cooperation partnerships"
WATER-5b-2015,"664572","A coordination platform"
SC5-01-2014,"664573","Advanced Earth-system models"
SC5-02-2015,"664574","ERA for Climate Services"
SC5-03a-2014,"664575","Economic assessment of climate change "
SC5-04-2015,"664576","Improving the air quality and reducing the carbon footprint of European cities"
SC5-05a-2014,"664577","Climate change mitigation options"
SC5-05b-2015,"664578","Earth-system modelling and climate services "
SC5-06-2014,"664579","Biodiversity and ecosystem services: drivers of change and causalities"
SC5-07-2015,"664580","More effective ecosystem restoration in the EU"
SC5-08-2014,"664581","Preparing and promoting innovation procurement for soil decontamination"
SC5-09-2014,"664582","Consolidating the European Research Area on biodiversity and ecosystem services"
SC5-10a-2014,"664583","Enhancing mapping ecosystems and their services"
SC5-10c-2015,"664584","An EU support mechanism for evidence-based policy on biodiversity &amp; ecosystems services"
SC5-11a-2014,"664585","Mining of small and complex deposits and alternative mining"
SC5-11c-2015,"664586","Deep mining on continent and/or in sea-bed "
SC5-12a-2014,"664587","Materials for electronic devices"
SC5-12b-2015,"664588","Materials under extreme conditions"
SC5-13a-2014,"664589","Mineral deposits of public importance"
SC5-13c-2015,"664590","Innovation friendly minerals policy framework"
SC5-14-2014,"664591","Consolidating global knowledge on the green economy in support of sustainable development objectives in Europe and internationally"
SC5-15-2015,"664592","Strengthening the European Research Area in the domain of Earth Observation"
SC5-16-2014,"664593","Making Earth Observation and Monitoring Data usable for ecosystem modelling and services"
SC5-17-2015,"664594","Demonstrating the concept of 'Citizen Observatories'"
SC5-18a-2014,"664595","Coordinating European Observation Networks to reinforce the knowledge base for climate, natural resources and raw materials"
SC5-18b-2015,"664596","Integrating North African, Middle East and Balkan Earth Observation capacities in GEOSS"
SC5-19a-2014,"664597","Facilitating transnational cooperation between NCPs in Societal Challenge 5"
SC5-19b-2015,"664598","Mapping Member State research and innovation in climate change, environment, resource efficiency and raw materials"
SC5-20-2014,"664599","Boosting the potential of small businesses for eco-innovation and a sustainable supply of raw materials"
SC5-20-2015,"664600","Boosting the potential of small businesses for eco-innovation and a sustainable supply of raw materials"
CBTT-1-2014,"664601","Capacity-Building in Technology Transfer"
BIR-1-2014,"664602","Boosting the Investment-Readiness of SMEs and Small Midcaps"
WIDESPREAD-1-2014,"664603","Teaming"
WIDESPREAD-2-2014,"664604","ERA Chairs"
WIDESPREAD-3-2014,"664605","Transnational network of national contact points (NCP)"
H2020-TWINN-2015,"664606","Twinning"
MSCA-ITN-2014-EID,"664607","Marie Skłodowska-Curie Innovative Training Networks (ITN-EID)"
MSCA-ITN-2014-EJD,"664608","Marie Skłodowska-Curie Innovative Training Networks (ITN-EJD)"
MSCA-IF-2014-GF,"664609","Marie Skłodowska-Curie Individual Fellowships (IF-GF)"
INFRADEV-1-2014,"664610","Design studies"
INFRADEV-2-2015,"664611","Preparatory Phase of ESFRI projects"
INFRADEV-3-2015,"664612","Individual implementation and operation of ESFRI projects"
INFRADEV-4-2014-2015,"664613","Implementation and operation of cross-cutting services and solutions for clusters of ESFRI and other relevant research infrastructure initiatives"
INFRADEV-4-2015,"664614","Implementation and operation of cross-cutting services and solutions for clusters of ESFRI and other relevant research infrastructure initiatives"
AAT.2012.4.1-2.,"18188","Aerostructures"
INFRAIA-1-2014-2015,"664615","Integrating and opening existing national and regional research infrastructures of European interest"
INFRAIA-1-2015,"664616","Integrating and opening existing national and regional research infrastructures of European interest"
EINFRA-1-2014,"664617","Managing, preserving and computing with big research data"
EINFRA-2-2014,"664618","e-Infrastructure for Open Access"
EINFRA-3-2014,"664619","Towards global data e-infrastructures – Research Data Alliance"
EINFRA-4-2014,"664620","Pan-European High Performance Computing infrastructure and services"
EINFRA-5-2015,"664621","Centres of Excellence for computing applications"
EINFRA-6-2014,"664622","Network of HPC Competence Centres for SMEs"
EINFRA-7-2014,"664623","Provision of core services across e-infrastructures"
EINFRA-8-2014,"664624","Research and Education Networking – GÉANT"
EINFRA-9-2015,"664625","e-Infrastructures for virtual research environments (VRE)"
INFRASUPP-1-2014,"664626","Innovation support measures"
INFRASUPP-2-2015,"664627","Innovative procurement pilot action in the field of scientific instrumentation"
INFRASUPP-3-2014,"664628","Strengthening the human capital of research infrastructures"
INFRASUPP-4-2015,"664629","New professions and skills for e-infrastructures"
INFRASUPP-5-2014,"664630","Policy measures for research infrastructures"
INFRASUPP-6-2014,"664631","International cooperation for research infrastructures"
INFRASUPP-7-2014,"664632","e-Infrastructure policy development and international cooperation"
INFRASUPP-8-2014,"664633","Network of National Contact Points"
GALILEO-1-2014,"664634","EGNSS applications"
GALILEO-1-2015,"664635","EGNSS applications"
GALILEO-2-2014,"664636","Small and Medium Enterprise (SME) based EGNSS applications"
GALILEO-2-2015,"664637","Small and Medium Enterprise (SME) based EGNSS applications"
GALILEO-3-2014,"664638","Releasing the potential of EGNSS applications through international cooperation"
GALILEO-3-2015,"664639","Releasing the potential of EGNSS applications through international cooperation"
EO-1-2014,"664641","New ideas for Earth-relevant space applications"
EO-2-2014,"664642","Climate Change relevant space-based Data reprocessing and calibration"
EO-3-2014,"664643","Observation capacity mapping in the context of Atmospheric and Climate change monitoring"
PROTEC-1-2014,"664644","Space Weather"
PROTEC-2-2014,"664645","Access technologies and characterisation for Near Earth Objects (NEOs)"
COMPET-01-2014,"664646","Technologies for European non-dependence and competitiveness"
COMPET-02-2014,"664647","Independent access to space"
COMPET-03-2014,"664648","In-Space electrical propulsion and station keeping"
COMPET-04-2014,"664649","Space Robotics Technologies"
COMPET-05-2014,"664650","In-Orbit demonstration/Validation (IOD/IOV)"
COMPET-06-2014,"664651","Bottom-up space technologies at low TRL"
COMPET-07-2014,"664652","Space exploration – Life support"
COMPET-08-2014,"664653","Science in context: sample curation facility and scientific exploitation of data from Mars missions"
COMPET-09-2014,"664654","Technology “demonstrator projects” for exploration"
COMPET-10-2014,"664655","Outreach through education"
COMPET-11-2014,"664656","Transnational and international cooperation among NCPs"
EO-1-2015,"664657","Bringing EO applications to the market"
EO-2-2015,"664658","Stimulating wider research use of Copernicus Sentinel Data"
EO-3-2015,"664659","Technology developments for competitive imaging from space"
PROTEC-1-2015,"664660","Passive means to reduce the impact of Space Debris"
COMPET-01-2015,"664661","Technologies for European non-dependence and competitiveness"
COMPET-02-2015,"664662","Independent access to space"
COMPET-03-2015,"664663","Bottom-up space technologies at low TRL"
COMPET-04-2015,"664664","Space exploration – Habitat management"
COMPET-05-2015,"664665","Scientific exploitation of astrophysics, comets, and planetary data"
COMPET-06-2015,"664666","International Cooperation in space science"
Space-SME-2014-1,"664667","SME Instrument"
Space-SME-2014-2,"664668","SME Instrument"
Space-SME-2015-1,"664669","SME Instrument"
Space-SME-2015-2,"664670","SME Instrument"
Activity-1-2014,"664671","Research and Development activities related to Galileo Public Regulated Service (PRS)"
Activity-2-2014,"664672","Space Surveillance and Tracking: participation of the EU Satellite Centre in the SST Service Function"
Activity-3-2014,"664673","Studies &amp; Communication"
Activity-5-2014,"664674","Transition towards Copernicus"
Activity-1-2015,"664675","GNSS Evolution, Mission and Services related R&amp;D activities"
Activity-2-2015,"664676","GNSS evolution, infrastructure-related R&amp;D activities"
Activity-3-2015,"664677","Space surveillance and tracking (SST)"
Activity-4-2015,"664678","Improving the Performances of the SST at European Level"
Activity-5-2015,"664679","Studies &amp; Communication"
EE-01-2014,"664680","Manufacturing of prefabricated modules for renovation of building"
EE-03-2014,"664681","Energy strategies and solutions for deep renovation of historic buildings"
EE-04-2014,"664682","Construction skills"
EE-05-2014,"664683","Increasing energy performance of existing buildings through process and organisation innovations and creating a market for deep renovation"
EE-07-2014,"664684","Enhancing the capacity of public authorities to plan and implement sustainable energy policies and measures"
EE-08-2014,"664685","Public procurement of innovative sustainable energy solutions"
EE-09-2014,"664686","Empowering stakeholders to assist public authorities in the definition and implementation of sustainable energy policies and measures"
EE-10-2014,"664687","Consumer engagement for sustainable energy"
EE-11-2014,"664688","New ICT-based solutions for energy efficiency"
EE-12-2014,"664689","Socioeconomic research on energy efficiency"
EE-13-2014,"664690","Technology for district heating and cooling"
EE-14-2014,"664691","Removing market barriers to the uptake of efficient heating and cooling solutions"
EE-15-2014,"664692","Ensuring effective implementation of EU product efficiency legislation"
EE-16-2014,"664693","Organisational innovation to increase energy efficiency in industry"
EE-18-2014,"664694","New technologies for utilization of heat recovery in large industrial systems, considering the whole energy cycle from heat production to transformation, delivery and end use"
